CROP_IMAGE,image_type,task_type,difficulty,question,option_A,option_B,option_C,option_D,correct_answer,rationale
nature10593_figure-3_crop1.png,STEM,visual_perception,medium,"In this HAADF STEM image of the Σ = 5 grain boundary along [001], what is the spatial relationship between the two rows of atomic columns near the boundary?",Two rows are shifted relative to each other forming a boundary,Two rows are perfectly aligned without displacement,Two rows overlap completely forming a single row,Two rows are separated by a large amorphous gap,A,"The image shows two rows of atomic columns with a clear shift or offset at the boundary, consistent with a grain boundary structure, ruling out perfect alignment or overlap."
nature10593_figure-3_crop1.png,STEM,visual_perception,hard,"In this HAADF STEM image of a Σ = 5 grain boundary viewed along [001], what do the two yellow arrows most likely indicate?",Calcium interstitial atoms appearing as low contrast spots between atomic columns,Beam-induced contamination artifacts,Dislocations intersecting the grain boundary,Vacancies in the titanium sublattice causing dark spots,A,"The arrows point to low contrast spots between bright atomic columns consistent with interstitial calcium atoms, as opposed to vacancies or artifacts which would have different contrast or morphology."
nature10593_figure-3_crop1.png,STEM,reasoning,easy,"Given this is a Σ = 5 grain boundary in a crystalline material, what does the periodic arrangement of bright spots along the boundary suggest about the grain boundary structure?",The grain boundary has an ordered structural unit repeating periodically,The grain boundary is a simple tilt boundary without structural units,The grain boundary contains large voids disrupting periodicity,The grain boundary is completely disordered and amorphous,A,"The periodic bright spots indicate a repeating structural unit at the grain boundary, consistent with ordered grain boundary models."
nature10593_figure-3_crop1.png,STEM,reasoning,medium,"In this Σ = 5 grain boundary HAADF STEM image, the presence of low contrast spots between atomic columns suggests what about calcium atoms in the structure?",Calcium atoms substitute titanium atoms in the lattice,Calcium atoms are absent from the grain boundary region,Calcium atoms form surface contamination layers,Calcium atoms occupy interstitial sites at the grain boundary,D,"Low contrast spots between atomic columns are consistent with interstitial calcium atoms, rather than substitution or surface contamination."
nature10593_figure-3_crop1.png,STEM,reasoning,hard,"Considering this HAADF STEM image of a Σ = 5 grain boundary viewed along [001], what can be inferred about the displacement of calcium atoms indicated by the arrows?",Calcium atoms cluster to form precipitates away from the boundary,Calcium atoms cause the grain boundary to become amorphous,Calcium atoms are displaced from their original lattice sites to interstitial positions,Calcium atoms remain at their original lattice sites without displacement,C,"The image and arrows indicate calcium atoms displaced from lattice sites to interstitial positions at the grain boundary, consistent with segregation and structural rearrangement."
nature10593_figure-3_crop1.png,STEM,experimental_design,easy,What imaging mode was most likely used to acquire this atomic-resolution image of the Σ = 5 grain boundary?,Dark field TEM,High-angle annular dark field (HAADF) STEM,Bright field TEM,Phase contrast HRTEM,B,"The image shows bright atomic columns on a dark background with Z-contrast, characteristic of HAADF STEM imaging."
nature10593_figure-3_crop1.png,STEM,experimental_design,medium,The presence of well-defined bright atomic columns with minimal blurring suggests which of the following about the imaging conditions?,The image is defocused resulting in blurred atomic columns,The image was acquired in low magnification mode,The sample is well-focused and free of significant astigmatism,The sample suffered from severe beam damage causing contrast loss,C,"Sharp bright spots indicate good focus and minimal astigmatism, ruling out defocus or beam damage artifacts."
nature10593_figure-3_crop1.png,STEM,experimental_design,hard,"In this HAADF STEM image of a Σ = 5 grain boundary, what could be a potential artifact affecting the interpretation of calcium interstitial positions?",Contamination buildup causing dark spots,Charging effects causing bright halos around atoms,Chromatic aberration causing false contrast at the boundary,Sample drift causing slight displacement of atomic columns,D,"Sample drift can cause subtle shifts in atomic column positions, potentially complicating precise localization of interstitial atoms, whereas other artifacts are less consistent with the image features."
nature10904_figure-1_crop5.png,HR-TEM,visual_perception,easy,What is the approximate shape of the nanoparticle shown in this HRTEM image?,Plate-like flat,Irregular amorphous,Spherical with faceted edges,Rod-like elongated,C,"The particle appears roughly spherical with visible faceted edges, ruling out elongated rods, flat plates, or amorphous irregular shapes."
nature10904_figure-1_crop5.png,HR-TEM,visual_perception,medium,"What is the approximate diameter of the nanoparticle shown, based on the 5 nm scale bar?",About 15 nm,About 8 nm,About 1 nm,About 3 nm,B,"The particle spans roughly 1.5 times the 5 nm scale bar, indicating a diameter near 7.5-9 nm, closest to 8 nm."
nature10904_figure-1_crop5.png,HR-TEM,visual_perception,hard,Which feature of the nanoparticle is best observed in this HRTEM image?,Internal voids or pores,Crystalline lattice fringes indicating atomic planes,Surface chemical composition contrast,Magnetic domain boundaries,B,"The visible lattice fringes correspond to atomic planes, while chemical composition, magnetic domains, or internal voids are not directly visible in this image."
nature10904_figure-1_crop5.png,HR-TEM,reasoning,easy,"Given this is a crystalline nanoparticle approximately 8 nm in diameter, what does the visible lattice fringe pattern suggest about its crystallinity?",The particle is polycrystalline with many grain boundaries,The particle is liquid-like,The particle is amorphous,The particle is highly crystalline,D,"Clear, continuous lattice fringes indicate a highly crystalline structure rather than amorphous or liquid-like states."
nature10904_figure-1_crop5.png,HR-TEM,reasoning,medium,"In this nanoparticle of about 8 nm diameter, what can be inferred about the surface structure from the faceted edges visible in the image?",The facets indicate surface oxidation layers,The facets indicate surface roughness due to beam damage,The facets indicate amorphous surface coating,The facets indicate well-defined crystallographic planes at the surface,D,"Faceted edges in crystalline nanoparticles typically correspond to stable crystallographic planes, not amorphous coatings or beam damage artifacts."
nature10904_figure-1_crop5.png,HR-TEM,reasoning,hard,"Considering this HRTEM image shows lattice fringes in a nanoparticle approximately 8 nm in size, what can be inferred about the particle's defect structure?",The particle contains many stacking faults visible as fringe discontinuities,The particle is heavily twinned with multiple grain boundaries,The particle is amorphous with no lattice fringes,The particle likely has few or no extended defects due to uniform lattice fringes,D,"The uniform and continuous lattice fringes suggest minimal extended defects, unlike stacking faults or twinning which disrupt fringe continuity."
nature10904_figure-1_crop5.png,HR-TEM,experimental_design,easy,Which imaging mode was most likely used to capture this nanoparticle image showing lattice fringes?,High-resolution transmission electron microscopy (HRTEM),Dark-field optical microscopy,Bright-field scanning electron microscopy (SEM),Atomic force microscopy (AFM),A,"The visible atomic lattice fringes are characteristic of HRTEM imaging, not SEM, optical microscopy, or AFM."
nature10904_figure-1_crop5.png,HR-TEM,experimental_design,medium,The slight contrast variation around the nanoparticle edges in this image is most likely due to which imaging effect?,Sample contamination,Phase contrast from electron wave interference,Beam-induced sample melting,Surface charging artifact,B,"Phase contrast in HRTEM causes fringe and edge contrast variations, whereas charging, contamination, or melting would produce different artifacts."
nature10904_figure-1_crop5.png,HR-TEM,experimental_design,hard,"If the lattice fringes appear slightly blurred or distorted in this HRTEM image, what is the most likely cause related to imaging conditions?",Incorrect accelerating voltage causing chromatic aberration,Slight defocus or astigmatism in the electron beam,Contamination buildup on the sample surface,Sample drift due to mechanical instability,B,"Blurred lattice fringes often result from defocus or astigmatism, while drift causes image shift, chromatic aberration affects contrast differently, and contamination causes different contrast patterns."
nature11563_figure-3_crop0.png,HR-TEM,visual_perception,easy,"In this HAADF-STEM image of a surface-reconstructed sample, what is the predominant shape of the atomic columns visible in the lattice?",Triangular clusters,"Bright, roughly circular spots",Elongated rod-like features,Irregular amorphous blobs,B,"The atomic columns appear as bright, roughly circular spots due to the HAADF imaging mode, which highlights atomic columns with high Z contrast. The other shapes are inconsistent with the observed regular lattice."
nature11563_figure-3_crop0.png,HR-TEM,visual_perception,medium,"In this HAADF-STEM image of a surface-reconstructed sample, how are the topmost atomic layer and the subsurface Ti–O atomic layer visually distinguished?",By the shape of the atomic columns being triangular in the top layer,By the presence of lattice defects only in the subsurface layer,By their vertical position and brightness contrast,By their color differences in the image,C,"The topmost and subsurface layers are identified by their vertical position near the surface edge and differences in brightness contrast, consistent with atomic number and thickness effects in HAADF imaging. The image is grayscale, so color differences are not present."
nature11563_figure-3_crop0.png,HR-TEM,visual_perception,hard,"In this HAADF-STEM image of a surface-reconstructed sample, what is the approximate spacing pattern of the atomic columns along the surface edge?","A regular, periodic spacing consistent with a crystalline lattice",A gradient of increasing spacing from left to right,Random spacing with no periodicity,Clusters of atomic columns separated by large gaps,A,"The atomic columns maintain a regular, periodic spacing along the surface edge, indicating a well-ordered crystalline lattice. The other options contradict the visible uniform lattice arrangement."
nature11563_figure-3_crop0.png,HR-TEM,reasoning,easy,"Given that this is a HAADF-STEM image of a Ti–O surface-reconstructed sample, what does the brighter contrast of certain atomic columns most likely indicate?",Beam damage artifacts,Vacancies or missing atoms,Lower atomic number elements,Higher atomic number elements or thicker atomic columns,D,"In HAADF-STEM imaging, brighter spots correspond to atomic columns with higher atomic number or greater thickness due to increased scattering. Lower atomic number or vacancies would appear darker."
nature11563_figure-3_crop0.png,HR-TEM,reasoning,medium,"In this HAADF-STEM image of a Ti–O surface, the red and blue arrows mark the topmost and subsurface atomic layers. What does the presence of a distinct subsurface Ti–O layer suggest about the surface reconstruction?",The surface reconstruction preserves the subsurface atomic order,The subsurface layer is amorphous and disordered,The surface reconstruction removes the subsurface layer entirely,The subsurface layer is replaced by contaminants,A,The clear visibility of the subsurface Ti–O layer with ordered atomic columns indicates that the surface reconstruction maintains the subsurface atomic order rather than disrupting it.
nature11563_figure-3_crop0.png,HR-TEM,reasoning,hard,"Considering this HAADF-STEM image of a Ti–O surface-reconstructed sample, what can be inferred about the crystallographic orientation from the observed atomic lattice pattern?",The image shows an amorphous region without crystallographic order,The lattice is viewed off-axis with random orientation,The lattice is twinned with multiple orientations visible,"The lattice is viewed along a zone axis with high symmetry, such as [010] or [001]",D,"The highly ordered, periodic atomic lattice pattern with uniform spacing suggests imaging along a high-symmetry zone axis such as [010] or [001], consistent with the caption context."
nature11563_figure-3_crop0.png,HR-TEM,experimental_design,easy,What imaging mode is most likely used to acquire this atomic-resolution image showing bright atomic columns with Z-contrast?,HAADF-STEM,Phase contrast TEM,Dark-field TEM,Bright-field TEM,A,"The bright atomic columns with strong Z-contrast are characteristic of HAADF-STEM imaging, which is sensitive to atomic number and thickness."
nature11563_figure-3_crop0.png,HR-TEM,experimental_design,medium,The presence of noise reduction by singular value decomposition (SVD) in this HAADF-STEM image primarily helps to:,Change the imaging mode from BF to HAADF,Increase the magnification of the image,Introduce artificial contrast to simulate atoms,Enhance the visibility of atomic columns by reducing noise,D,SVD is a computational method used to reduce noise and improve signal clarity without altering the physical imaging mode or magnification.
nature11563_figure-3_crop0.png,HR-TEM,experimental_design,hard,"In the context of this HAADF-STEM image of a Ti–O surface, what is the main advantage of using multi-slice simulation for image comparison?",It accurately models electron scattering through the sample thickness to predict image contrast,It speeds up image acquisition by reducing electron dose,It simulates chemical reactions at the surface,It removes all noise from experimental images,A,"Multi-slice simulation accounts for multiple electron scattering events through the sample, enabling accurate prediction of image contrast for comparison with experimental HAADF-STEM images."
nature13617_figure-4_crop0.png,HR-TEM,visual_perception,easy,"In this HRTEM image of a Ta metallic glass sample, what best describes the morphology of the boundary between the crystalline and amorphous regions?",Smooth and continuous,Sharp and well-defined,Stepped and faceted,Atomically rough and diffuse,D,"The boundary clearly shows a diffuse contrast transition with no sharp lattice termination, indicating an atomically rough and diffuse interface. Options B, C, and D are inconsistent with the visible irregular and non-uniform boundary."
nature13617_figure-4_crop0.png,HR-TEM,visual_perception,medium,"In this Ta metallic glass HRTEM image, what is the predominant orientation of the crystalline lattice planes visible on the left side?",(110) planes,(111) planes,(210) planes,(100) planes,A,"The lattice fringes visible have spacing and orientation consistent with (110) planes of Ta, as indicated by the parallel fringes and their spacing. Other plane indices would produce different fringe spacings and angles."
nature13617_figure-4_crop0.png,HR-TEM,visual_perception,hard,"Considering the HRTEM image of the Ta metallic glass sample, what can be inferred about the atomic order across the glass-crystal interface (GCI)?",Long-range order abruptly ends at a sharp interface,The amorphous region shows periodic lattice fringes,Long-range order gradually breaks down across the diffuse GCI,The crystalline region contains significant disorder near the interface,C,"The image shows a gradual loss of lattice fringes moving from the crystalline to the amorphous side, indicating a gradual breakdown of long-range order. The interface is diffuse, not sharp (ruling out B). The amorphous region lacks periodic fringes (ruling out C). The crystalline region appears ordered near the interface (ruling out D)."
nature13617_figure-4_crop0.png,HR-TEM,reasoning,easy,"Given this is a Ta metallic glass undergoing phase change, what does the diffuse contrast region on the right side of the image represent?",Contamination from sample preparation,Amorphous metallic glass region,Oxidized surface layer,Crystalline Ta phase,B,The diffuse contrast without lattice fringes corresponds to the amorphous metallic glass region. The crystalline phase would show lattice fringes (B). There is no evidence of oxidation or contamination visible.
nature13617_figure-4_crop0.png,HR-TEM,reasoning,medium,"In this Ta metallic glass sample, what does the presence of atomically rough and diffuse GCIs suggest about the crystallization mechanism under pulsed electric fields?",Abrupt nucleation with sharp interfaces,Gradual crystal growth with a diffuse interface,Formation of faceted grain boundaries,Complete amorphization without crystallization,B,The diffuse and rough interface indicates gradual crystal growth rather than abrupt nucleation or faceted boundaries. The presence of both crystalline and amorphous regions rules out complete amorphization.
nature13617_figure-4_crop0.png,HR-TEM,reasoning,hard,"Based on the HRTEM image of the Ta metallic glass sample, what can be inferred about the stability of the glass-crystal interface during repeated phase-change cycling?",The interface becomes sharper and more faceted with cycling,The crystalline region progressively amorphizes near the interface,"The interface remains atomically rough and diffuse, indicating dynamic structural rearrangement",The amorphous region develops crystalline precipitates,C,"The image shows a diffuse, rough interface consistent with dynamic rearrangement during cycling. There is no evidence of sharpening or faceting (B), nor amorphization of the crystalline side (C), nor crystalline precipitates in the amorphous region (D)."
nature13617_figure-4_crop0.png,HR-TEM,experimental_design,easy,What imaging mode is most likely used to acquire this atomic-resolution image of the Ta metallic glass sample?,Dark-field optical microscopy,Atomic force microscopy (AFM),Bright-field scanning electron microscopy (BF-SEM),High-resolution transmission electron microscopy (HRTEM),D,"The atomic lattice fringes and high spatial resolution indicate HRTEM. BF-SEM and optical microscopy cannot resolve atomic planes, and AFM images surface topography, not lattice fringes."
nature13617_figure-4_crop0.png,HR-TEM,experimental_design,medium,The diffuse and atomically rough appearance of the glass-crystal interface in this HRTEM image could be influenced by which experimental factor?,Sample thickness variations causing phase contrast changes,Use of dark-field imaging mode,Presence of contamination layers obscuring the interface,Beam-induced crystallization sharpening the interface,A,"Thickness variations can cause contrast changes leading to diffuse interface appearance. Beam-induced crystallization would sharpen interfaces (B), dark-field mode is not used here (C), and contamination would produce different contrast patterns (D)."
nature13617_figure-4_crop0.png,HR-TEM,experimental_design,hard,"In the context of imaging the Ta metallic glass phase-change cycle, what is a likely challenge in interpreting the diffuse glass-crystal interface in HRTEM images?",Separating true atomic disorder from imaging artifacts such as defocus or astigmatism,Detecting magnetic domain structures in the sample,Distinguishing between different chemical elements at the interface,Measuring electrical conductivity variations across the interface,A,"HRTEM images can be affected by defocus and astigmatism, which can blur or diffuse lattice fringes, complicating interpretation of atomic disorder. Chemical composition, conductivity, and magnetism are not directly visible in this image."
nature14872_figure-1_crop0.png,HR-TEM,visual_perception,easy,"In this TEM image of a nanocrystal monolayer, what is the predominant shape of the larger nanocrystals forming the ordered array?",Rod-like,Plate-like,Spherical,Cubic,C,"The nanocrystals appear as roughly circular shapes with smooth edges, consistent with spherical morphology. Rod-like or cubic shapes would show elongated or angular features, which are not visible."
nature14872_figure-1_crop0.png,HR-TEM,visual_perception,medium,"In this TEM image of a CdSe nanocrystal monolayer doped with Au nanocrystals, how are the Au nanocrystals visually distinguished from the CdSe nanocrystals?",Au nanocrystals appear as brighter spots than CdSe nanocrystals,Au nanocrystals appear as darker spots within the lighter CdSe nanocrystal matrix,Au nanocrystals form rod-like shapes while CdSe are spherical,Au nanocrystals are larger and less ordered than CdSe nanocrystals,B,"In TEM bright field imaging, heavier elements like Au appear darker due to stronger electron scattering. The image shows smaller dark spots embedded in the lighter, larger CdSe nanocrystals. Brighter spots or shape differences are not observed."
nature14872_figure-1_crop0.png,HR-TEM,visual_perception,hard,"Considering the uniform hexagonal arrangement of the CdSe nanocrystals in this TEM image, what does the spatial distribution of the darker Au nanocrystals suggest about their incorporation in the monolayer?",Au nanocrystals substitute CdSe nanocrystals in the lattice positions,Au nanocrystals cluster together forming large aggregates,Au nanocrystals form a separate continuous layer on top of the CdSe monolayer,Au nanocrystals are randomly distributed interstitially within the CdSe superlattice,D,"The Au nanocrystals appear as smaller dark spots located between the regularly spaced CdSe nanocrystals, indicating interstitial placement rather than substitution or clustering. No large aggregates or separate layers are visible."
nature14872_figure-1_crop0.png,HR-TEM,reasoning,easy,"Given this is a CdSe nanocrystal monolayer doped with Au nanocrystals, what can be inferred about the relative atomic number contrast in the TEM image?",Contrast is unrelated to atomic number in this image,Au nanocrystals appear darker due to higher atomic number than CdSe,CdSe nanocrystals appear darker due to higher atomic number than Au,Both appear with similar contrast because atomic numbers are close,B,"Au has a higher atomic number than Cd and Se, causing stronger electron scattering and thus darker contrast in bright field TEM images."
nature14872_figure-1_crop0.png,HR-TEM,reasoning,medium,"In this CdSe nanocrystal monolayer doped with Au nanocrystals, what does the uniform size and spacing of the larger nanocrystals suggest about the growth mechanism?",Random nucleation without size control,Self-assembly into a superlattice with uniform nanocrystal size,Phase separation into distinct CdSe and Au domains,Aggregation of nanocrystals into irregular clusters,B,The hexagonal ordering and uniform size indicate controlled self-assembly into a superlattice rather than random or aggregated growth.
nature14872_figure-1_crop0.png,HR-TEM,reasoning,hard,"Considering the CdSe nanocrystal monolayer doped with Au nanocrystals shown in this TEM image, what can be inferred about the role of Au nanocrystals in the electronic coupling of the CdSe superlattice?",Au nanocrystals cause complete phase separation eliminating coupling,Au nanocrystals are electronically inert and have no effect,Au nanocrystals disrupt the lattice and prevent electronic coupling,Au nanocrystals act as dopants that may facilitate charge transfer between CdSe nanocrystals,D,"Au nanocrystals embedded interstitially can serve as dopants or conductive bridges enhancing charge transfer, consistent with their dispersed presence in the lattice."
nature14872_figure-1_crop0.png,HR-TEM,experimental_design,easy,What imaging mode is most consistent with this TEM image where Au nanocrystals appear as dark spots within a lighter CdSe nanocrystal matrix?,High-angle annular dark field STEM,Dark field TEM,Bright field TEM,Phase contrast TEM,C,"In bright field TEM, heavier elements appear darker due to stronger electron scattering, matching the image contrast."
nature14872_figure-1_crop0.png,HR-TEM,experimental_design,medium,The uniform contrast and sharp edges of the nanocrystals in this image suggest which of the following about the sample preparation?,The sample is thin and well-prepared with minimal contamination,The sample is coated with heavy metal stains,The sample preparation caused significant beam damage,The sample is thick causing multiple scattering artifacts,A,"Clear, sharp nanocrystal edges and uniform contrast indicate a thin, clean sample without beam damage or staining artifacts."
nature14872_figure-1_crop0.png,HR-TEM,experimental_design,hard,"Given the presence of small dark Au nanocrystals within a CdSe monolayer in this TEM image, what imaging artifact could potentially complicate distinguishing Au from CdSe nanocrystals if the focus is not optimal?",Charging effects causing bright halos around nanocrystals,Chromatic aberration causing color fringes around nanocrystals,Defocus-induced contrast reversal leading to misidentification of Au spots,Beam-induced sample drift causing image blurring,C,"Defocus can invert contrast in TEM images, making heavier elements appear lighter or vice versa, complicating identification of Au nanocrystals."
ncomms11770_figure-1_crop1.png,Diffraction,visual_perception,easy,What type of pattern is shown in this TEM image?,Selected Area Electron Diffraction (SAED) pattern,Dark Field TEM image,Bright Field TEM image,High-Resolution TEM lattice image,A,"The image shows diffraction rings and spots characteristic of a SAED pattern, not a direct real-space image like BF, DF, or HRTEM."
ncomms11770_figure-1_crop1.png,Diffraction,visual_perception,medium,"In this SAED pattern from silver nanocubes, what does the presence of distinct rings indicate about the sample?",The sample is a single perfect crystal,The sample contains polycrystalline or multiple crystalline domains,The sample is amorphous,The sample is contaminated with organic residues,B,"Distinct rings in SAED indicate diffraction from multiple randomly oriented crystallites, i.e., polycrystalline nature, unlike a single crystal which shows spots."
ncomms11770_figure-1_crop1.png,Diffraction,visual_perception,hard,"Given that this is a SAED pattern from silver nanocubes incubated to form Ag2S, what does the labeled diffraction ring corresponding to monoclinic Ag2S (112) imply about the phase transformation at the nanoparticle surface?",A sulfide phase with monoclinic crystal structure has formed on the silver nanocubes,The diffraction ring corresponds to cubic silver oxide formation,The pattern indicates amorphization of the silver nanocubes,The silver nanocubes remain purely metallic with no phase change,A,"The labeled ring matches monoclinic Ag2S (112) plane, indicating formation of a silver sulfide phase, not pure silver or oxide or amorphous material."
ncomms11770_figure-1_crop1.png,Diffraction,reasoning,easy,What does the arrow pointing at a diffraction ring labeled 'Monoclinic Ag2S (112)' in this SAED pattern signify?,Presence of cubic silver oxide,Presence of metallic silver phase only,Presence of amorphous sulfur,Presence of monoclinic silver sulfide crystalline phase,D,"The label and diffraction ring correspond to a known monoclinic Ag2S plane, indicating its presence."
ncomms11770_figure-1_crop1.png,Diffraction,reasoning,medium,"Considering this SAED pattern is from silver nanocubes after incubation in RPMI-1640 with FBS, what does the appearance of Ag2S diffraction rings suggest about the chemical interaction at the nanoparticle surface?",Nanocubes dissolved completely,No chemical reaction occurred; the pattern is from pure silver,Sulfur from the medium reacted with silver to form silver sulfide,Silver oxidized to silver oxide only,C,"The Ag2S rings indicate sulfur incorporation forming silver sulfide, consistent with incubation conditions."
ncomms11770_figure-1_crop1.png,Diffraction,reasoning,hard,"In the context of silver nanocubes incubated in biological medium, how does the monoclinic Ag2S phase formation, as evidenced by this SAED pattern, affect the nanoparticle's structural stability?","Formation of Ag2S passivates the surface, potentially enhancing stability",Ag2S phase formation leads to amorphization and instability,Ag2S formation causes complete nanoparticle dissolution,No effect on stability; phase is irrelevant,A,Silver sulfide formation often passivates and protects nanoparticles from further degradation.
ncomms11770_figure-1_crop1.png,Diffraction,experimental_design,easy,Which TEM technique was used to obtain this image showing diffraction rings labeled with crystal planes?,High-Resolution TEM imaging,Selected Area Electron Diffraction (SAED),Bright Field TEM imaging,Scanning TEM (STEM) imaging,B,Diffraction rings with plane indices are characteristic of SAED patterns.
ncomms11770_figure-1_crop1.png,Diffraction,experimental_design,medium,What is the likely cause of the dark shadow on the left side of this SAED pattern?,Beam stop blocking the direct electron beam,Sample contamination,Astigmatism in the electron beam,Charging of the sample,A,The dark shadow is typical of a beam stop used to block the intense central beam in diffraction patterns.
ncomms11770_figure-1_crop1.png,Diffraction,experimental_design,hard,"If the diffraction rings in this SAED pattern appear diffuse or smeared, what experimental factor could be responsible?",Sample drift or vibration during acquisition,Proper focus and alignment,Low electron dose,Use of a highly crystalline single crystal,A,Drift or vibration causes blurring of diffraction rings; proper focus and crystalline samples produce sharp rings.
ncomms14057_figure-2_crop2.png,CTEM,visual_perception,easy,What is the predominant shape of the darker particle on the right side of the image?,Rectangular,Spherical,Rod-like,Irregular,A,"The particle on the right clearly shows straight edges and a rectangular outline, ruling out spherical, rod-like, or irregular shapes."
ncomms14057_figure-2_crop2.png,CTEM,visual_perception,medium,"Considering the two dark particles visible, which description best fits their relative contrast and size?",Both particles have similar contrast but different sizes,The rectangular particle is darker and slightly larger than the roughly spherical particle,The spherical particle is darker and larger than the rectangular particle,Both particles are faint and similar in size,B,"The rectangular particle is visibly darker (higher contrast) and slightly larger than the roughly spherical particle, which is lighter and smaller."
ncomms14057_figure-2_crop2.png,CTEM,visual_perception,hard,"Based on the visible morphology and contrast differences, what can be inferred about the internal density or thickness of the two particles?",Both particles have uniform density and thickness,"The contrast differences are due to imaging artifacts, not density",The spherical particle is denser or thicker than the rectangular one,The rectangular particle is likely denser or thicker than the spherical one,D,"In BF-TEM, darker contrast usually corresponds to higher density or thickness; the rectangular particle is darker, indicating it is denser or thicker than the spherical particle."
ncomms14057_figure-2_crop2.png,CTEM,reasoning,easy,"Given that this image shows block copolymer assemblies (PAA 45 - b -PIL 23) in water/THF mixtures, what morphology does the rectangular particle most likely represent?",Multilamellar vesicle,Micelle,Lamella,Cubic particle,D,"The rectangular shape with sharp edges corresponds to cubic particles, as micelles and vesicles are typically spherical, and lamellae are sheet-like."
ncomms14057_figure-2_crop2.png,CTEM,reasoning,medium,"In the context of block copolymer morphology formation, what does the presence of both roughly spherical and rectangular particles in the same image suggest about the sample state?",The spherical particles are imaging artifacts,"The sample contains multiple coexisting morphologies, indicating a metastable or transitional state",The rectangular particles are impurities unrelated to the copolymer,The sample is fully phase-separated into a single morphology,B,Coexistence of different morphologies (spherical and cubic) suggests metastability or transitional phases in the block copolymer assembly.
